task_id,cluster_key,contest_date,difficulty,endpoint_id,provider,model,call_status,passed,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,provider_cost_usd,charged_cost_usd,latency_s,error_message
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,640,1360,2000,0.022320000000000003,,0.022320000000000003,23.42405496299034,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,552,4096,4648,,,,81.75446962402202,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,548,3841,4389,,,,80.97172338399105,
arc195_b,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,566,2134,2700,,,,38.970981120015495,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,813,4096,4909,0.04197625000000001,,0.04197625000000001,84.01639610098209,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,905,4096,5001,0.064155,,0.064155,75.20951733199763,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,809,4096,4905,,,,92.56757189100608,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,797,420,1217,,,,18.1975720100163,
arc195_c,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,823,4096,4919,,,,69.63561927402043,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,561,4096,4657,0.041661250000000004,,0.041661250000000004,96.82303640601458,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,607,4096,4703,0.063261,,0.063261,67.76616436900804,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,548,4096,4644,,,,82.70113947801292,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,539,4096,4635,,,,111.69848389801336,
arc195_d,2025-03-23T00:00:00,2025-03-23T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,567,4096,4663,,,,88.57509689699509,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,401,734,1135,0.007841250000000001,,0.007841250000000001,11.782695091998903,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,438,1030,1468,0.016764,,0.016764,12.604267632006668,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,393,4096,4489,,,,100.40285284401034,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,388,789,1177,,,,23.661394493014086,
arc195_a,2025-03-23T00:00:00,2025-03-23T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,406,361,767,,,,12.183958496985724,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,192,1055,1247,0.010790000000000001,,0.010790000000000001,16.665678960998775,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,218,1338,1556,0.020724,,0.020724,21.39393125398783,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,199,4096,4295,,,,95.90608055301709,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,198,95,293,,,,6.512257481983397,
abc398_f,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,200,361,561,,,,10.608336648991099,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,353,191,544,0.00235125,,0.00235125,3.3959639130043797,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,380,86,466,0.00243,,0.00243,2.868324479990406,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,353,4096,4449,,,,62.910232677997556,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,349,252,601,,,,23.11302725301357,
abc398_b,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,367,199,566,,,,2.3990021719946526,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,722,1544,2266,0.0163425,,0.0163425,24.320657395990565,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,802,1649,2451,0.027141,,0.027141,25.011687772988807,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,723,4096,4819,,,,82.24389258501469,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,719,1246,1965,,,,28.800966932001757,
abc398_d,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,759,1276,2035,,,,25.680890062008984,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,361,212,573,0.0025712499999999998,,0.0025712499999999998,3.719612306013005,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,391,135,526,0.003198,,0.003198,2.4470244490075856,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,1,357,2144,2501,,,,44.58082656998886,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,363,134,497,,,,3.658484107989352,
abc398_c,2025-03-22T00:00:00,2025-03-22T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,390,152,542,,,,3.955671744013671,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,595,4096,4691,0.041703750000000005,,0.041703750000000005,89.25835328100948,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,659,1414,2073,0.023187,,0.023187,23.208676089998335,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,584,4096,4680,,,,89.89332256201305,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,567,784,1351,,,,17.43377101799706,
abc398_g,2025-03-22T00:00:00,2025-03-22T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,600,1703,2303,,,,38.36871094600065,
abc397_d,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,297,793,1090,0.00830125,,0.00830125,13.6514886530058,
abc397_d,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,328,1485,1813,0.023259,,0.023259,18.691224118025275,
abc397_d,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,296,4096,4392,,,,68.03475280100247,
abc397_d,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,296,178,474,,,,4.194743612984894,
abc397_d,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,329,1114,1443,,,,26.12088667100761,
abc397_f,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,481,3359,3840,0.03419125,,0.03419125,51.467033539986005,
abc397_f,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,523,4096,4619,0.063009,,0.063009,61.03166783397319,
abc397_f,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,467,4096,4563,,,,83.30440730898408,
abc397_f,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,463,4096,4559,,,,106.79550304001896,
abc397_f,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,485,2480,2965,,,,84.00697839501663,
abc397_c,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,496,315,811,0.00377,,0.00377,4.553976244002115,
abc397_c,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,540,255,795,0.005445,,0.005445,4.480568473023595,
abc397_c,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,485,4096,4581,,,,63.574416207993636,
abc397_c,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,481,250,731,,,,8.984940102993278,
abc397_c,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,500,285,785,,,,7.959799953998299,
abc397_g,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,456,4096,4552,0.041530000000000004,,0.041530000000000004,85.00388628899236,
abc397_g,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,500,1415,1915,0.022725000000000002,,0.022725000000000002,21.91484285198385,
abc397_g,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,450,4096,4546,,,,81.48104130101274,
abc397_g,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,463,4096,4559,,,,87.40752878601779,
abc397_g,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,462,2307,2769,,,,15.680849617987406,
abc397_e,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,1,449,2972,3421,0.03028125,,0.03028125,56.80395750000025,
abc397_e,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,489,4096,4585,0.062907,,0.062907,71.42419731902191,
abc397_e,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,444,4096,4540,,,,94.00347450101981,
abc397_e,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,451,3197,3648,,,,66.90912806801498,
abc397_e,2025-03-15T00:00:00,2025-03-15T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,453,1650,2103,,,,24.34906683798181,
abc397_b,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,gpt55,openai,gpt-5.5,succeeded,1,345,513,858,0.00556125,,0.00556125,11.748015616001794,
abc397_b,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,sonnet,anthropic,claude-sonnet-4-6,succeeded,1,376,244,620,0.004788000000000001,,0.004788000000000001,4.19039526101551,
abc397_b,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,347,4096,4443,,,,72.22600213601254,
abc397_b,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,deepseek,openrouter,deepseek/deepseek-chat,succeeded,1,351,296,647,,,,8.352247292990796,
abc397_b,2025-03-15T00:00:00,2025-03-15T00:00:00,medium,qwen3,openrouter,qwen/qwen3-coder,succeeded,1,349,715,1064,,,,11.494122901000082,
arc194_c,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,791,4096,4887,0.04194875000000001,,0.04194875000000001,81.23792223501368,
arc194_c,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,872,1289,2161,0.021951000000000002,,0.021951000000000002,20.479824595007813,
arc194_c,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,780,4096,4876,,,,87.96698546098196,
arc194_c,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,790,186,976,,,,11.848099291004473,
arc194_c,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,817,3766,4583,,,,33.08203142200364,
arc194_b,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,439,4096,4535,0.041508750000000004,,0.041508750000000004,85.20968368600006,
arc194_b,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,481,4096,4577,0.06288300000000001,,0.06288300000000001,66.75106351301656,
arc194_b,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,431,4096,4527,,,,85.33134495400009,
arc194_b,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,424,222,646,,,,12.948443895991659,
arc194_b,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,qwen3,openrouter,qwen/qwen3-coder,succeeded,0,442,278,720,,,,5.871619904995896,
arc194_e,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,gpt55,openai,gpt-5.5,succeeded,0,674,4096,4770,0.041802500000000006,,0.041802500000000006,81.26028757498716,
arc194_e,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,sonnet,anthropic,claude-sonnet-4-6,succeeded,0,712,4096,4808,0.06357600000000001,,0.06357600000000001,67.60864418701385,
arc194_e,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,kimi,openrouter,moonshotai/kimi-k2-thinking,succeeded,0,648,4096,4744,,,,88.19229239900596,
arc194_e,2025-03-09T00:00:00,2025-03-09T00:00:00,hard,deepseek,openrouter,deepseek/deepseek-chat,succeeded,0,646,4096,4742,,,,114.69016727400594,
